Ward,Votes_2011,Emanuel_2011
1,10498,5703
2,15137,9754
3,9232,5374
4,13671,8136
5,12244,7643
6,15255,8947
7,12516,7463
8,16056,9475
9,11277,6650
10,10739,3790
11,11305,4811
12,4904,1403
13,12450,4599
14,6535,1603
15,7212,3860
16,6283,3216
17,10194,6140
18,15622,8188
19,23898,8994
20,7706,4320
21,15933,9448
22,4751,1292
23,16516,6119
24,9528,5680
25,8814,3231
26,7852,3049
27,9816,6226
28,8386,5059
29,10840,6547
30,6460,2722
31,6456,2446
32,14008,9410
33,8139,4500
34,14495,8666
35,9025,3985
36,14365,7199
37,8888,5383
38,12426,6670
39,10778,6297
40,10579,6518
41,20290,8583
42,18828,14118
43,14914,11197
44,13077,9703
45,16062,8223
46,14436,10062
47,17274,11545
48,13378,9143
49,9837,6024
50,11472,7217
