Ward,Votes_2011,Emanuel_2011,Del Valle,Mosely Braun,Chico,Watkins,Walls_2011
1,10175,5141,2596,173,2175,55,35
2,13358,9550,1089,298,2299,72,50
3,12520,7629,639,2250,1502,323,177
4,14632,8943,1050,2317,1721,323,278
5,13999,8730,1196,2198,1289,369,217
6,13203,7748,389,3182,1099,497,288
7,14122,8292,539,2956,1589,493,253
8,17031,10124,590,3849,1534,565,369
9,14241,8354,395,3288,1392,534,277
10,10262,3592,813,312,5432,65,48
11,10893,4899,903,163,4859,36,33
12,5591,1706,934,87,2813,30,21
13,11837,4294,1129,127,6222,34,32
14,7965,2297,850,68,4703,25,22
15,5901,2551,518,762,1869,131,70
16,7956,4289,389,1721,1162,260,133
17,11388,6567,428,2417,1269,515,192
18,14638,7255,760,2256,3719,415,233
19,23497,8762,1461,1182,11762,203,127
20,8491,4854,386,1851,931,302,167
21,15866,9455,415,3667,1393,626,311
22,6077,2064,1225,311,2397,57,23
23,11629,4064,1033,131,6328,44,30
24,8803,5133,376,1898,889,372,136
25,9172,3694,1633,279,3455,71,39
26,8020,3156,2699,231,1844,66,24
27,11966,7647,801,1436,1604,361,117
28,10061,6029,454,1796,1273,383,125
29,14477,8592,759,2258,2345,346,177
30,6830,3145,1310,79,2235,37,24
31,6293,2531,1569,61,2092,28,12
32,12345,7743,1890,121,2510,45,36
33,8788,4760,1801,116,2029,49,33
34,15755,9404,385,3591,1430,618,326
35,6298,2744,1828,104,1572,36,13
36,7470,3497,1179,185,2532,51,25
37,9789,6068,437,1931,943,288,121
38,13742,7017,1212,122,5293,53,45
39,14603,8172,1464,166,4687,52,62
40,11877,7440,1782,231,2294,76,54
41,18768,7897,1175,129,9446,66,55
42,12129,8922,543,221,2362,46,35
43,14242,10652,786,208,2487,65,45
44,12768,9480,1056,132,2029,43,29
45,14883,7710,1552,116,5363,82,61
46,14032,9815,1261,563,2175,138,81
47,16438,11058,2275,154,2829,70,52
48,14161,9616,1765,548,2063,115,53
49,10449,6362,1765,515,1604,104,99
50,10925,6884,1204,308,2385,70,74
