Ward,Votes_2015,Emanuel_2015,Wilson,Fioretti,Garcia,Walls_2015
1,8321,3282,251,608,4080,100
2,9857,6398,306,801,2275,77
3,9580,4686,1566,859,2028,441
4,11444,5087,1611,922,3259,565
5,11315,4969,1460,521,3816,549
6,10225,4341,2399,476,2347,662
7,10202,4445,2163,422,2505,667
8,13198,5718,2896,546,3181,857
9,11586,5001,2775,500,2561,749
10,8969,3382,467,753,4260,107
11,8736,4275,227,1317,2837,80
12,4864,1240,93,230,3262,39
13,10648,5440,197,976,3974,61
14,5851,2185,107,439,3083,37
15,4427,1317,569,135,2297,109
16,5736,2237,1526,202,1494,277
17,8570,3425,2272,318,2057,498
18,12060,4669,2007,776,3950,658
19,17849,7447,1119,2469,6436,378
20,6497,2615,1587,213,1721,361
21,12621,5330,3087,496,2815,893
22,5137,1069,236,130,3636,66
23,9408,3745,227,1282,4106,48
24,7051,2568,2137,320,1649,377
25,7560,2499,256,481,4260,64
26,6520,2243,344,340,3511,82
27,8393,4035,1590,667,1824,277
28,7328,2916,1901,572,1626,313
29,10354,4349,2262,676,2594,473
30,4767,1859,133,361,2366,48
31,5740,2323,138,280,2947,52
32,8406,3964,182,698,3499,63
33,8054,3184,263,519,3994,94
34,12327,5583,3069,401,2550,724
35,6141,2057,179,328,3520,57
36,5941,2326,277,599,2687,52
37,8145,3359,2299,363,1724,400
38,11027,5293,307,1670,3662,95
39,11104,5351,346,1163,4147,97
40,9282,4371,288,606,3924,93
41,14054,6703,421,2452,4371,107
42,8498,6221,258,525,1421,73
43,9950,7151,275,625,1827,72
44,8784,5637,190,514,2388,55
45,12800,6131,401,1658,4496,114
46,10206,5858,494,507,3223,124
47,12166,6232,257,707,4883,87
48,11013,5747,441,540,4140,145
49,8634,3760,473,416,3811,174
50,7767,4282,331,532,2521,101
